R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,MNGPS_NM,MNGPS_TELN,XCORD,YCORD,XX,YY,CD_GUBUN,geometry,경도,위도
9783.0,1144000000,194,서울특별시,마포구,7.0,기타시설,마포대진유치원,1144012400104930006029172,1144012400.0,1144071000,서울특별시 마포구 성미산로 110(연남동),1024,310,이재녀,02-334-0161,126.91939,37.56188,192877.8755,551375.30571,긴급,POINT (126.91725941964843 37.561245573500784),126.91725941964843,37.561245573500784
2289.0,1123000000,340,서울특별시,동대문구,1.0,학교,전곡초등학교,1123010400101880000026781,1123010400.0,1123057000,서울특별시 동대문구 전농로 172(전농동),3500,1346,김유리,,127.05649,37.58046,204990.10154,553435.63951,안전,POINT (127.05436450123446 37.579822511939696),127.05436450123446,37.579822511939696
2279.0,1123000000,339,서울특별시,동대문구,1.0,학교,배봉초등학교,1123010400100030111025643,1123010400.0,1123057000,서울특별시 동대문구 사가정로 193(전농동),1287,495,조혜란,,127.06678,37.58012,205899.07364,553398.79055,안전,POINT (127.06465466985722 37.57948512269038),127.06465466985722,37.57948512269038
14445.0,1132000000,144,서울특별시,도봉구,1.0,학교,서울창림초등학교,1132010700104110008017719,1132010700.0,1132051200,서울특별시 도봉구 덕릉로63길 46(창동),11855,4559,박주연 실장,,127.04146,37.64318,203659.41962,560396.61206,안전,POINT (127.03933465020071 37.64254632571948),127.03933465020071,37.64254632571948
14370.0,1132000000,152,서울특별시,도봉구,1.0,학교,도봉중학교,1132010800106220040010515,1132010800.0,1132052200,서울특별시 도봉구 마들로 671(도봉동),1140,438,박영길 실장,,127.04567,37.67056,204029.2751,563434.88833,긴급,POINT (127.04353815779417 37.66991877348935),127.04353815779417,37.66991877348935
9612.0,1144000000,171,서울특별시,마포구,1.0,학교,경성고등학교,1144012400103690001027666,1144012400.0,1144071000,서울특별시 마포구 성미산로 111(연남동),2100,939,장운선,010-9939-3870,126.91915,37.56345,192856.82286,551549.90399,긴급,POINT (126.91701087046316 37.5628176422645),126.91701087046316,37.5628176422645
14403.0,1132000000,135,서울특별시,도봉구,1.0,학교,서울창도초등학교,1132010600107220021004106,1132010600.0,1132069000,서울특별시 도봉구 방학로 32-28 (방학동),532,204,강순미 실장,,127.04951,37.66369,204368.45274,562673.49994,긴급,POINT (127.04738263545345 37.663056976161585),127.04738263545345,37.663056976161585
14407.0,1132000000,163,서울특별시,도봉구,7.0,기타시설,세화모텔,1132010600106940008004201,1132010600.0,1132069000,서울특별시 도봉구 방학로6길 17(방학동),400,30,이주현,02-954-3344,125.0,31.0,8973.12533,-174806.09557,긴급,POINT (127.03476841624803 37.663102410812776),127.03476841624803,37.663102410812776
14404.0,1132000000,136,서울특별시,도봉구,1.0,학교,도봉 문화고등학교,1132010600107230025003618,1132010600.0,1132069000,서울특별시 도봉구 마들로 598(방학동),1514,582,전종근 실장,,127.04708,37.66345,204154.11447,562646.35456,긴급,POINT (127.04495197977784 37.66281317479089),127.04495197977784,37.66281317479089
14443.0,1132000000,149,서울특별시,도봉구,1.0,학교,서울창원초등학교,1132010700103080000014057,1132010700.0,1132051500,서울특별시 도봉구 해등로 103(창동),6874,2643,정은자 실장,,127.04059,37.65236,203581.98241,561414.8235,긴급,POINT (127.03846152652923 37.65172161517638),127.03846152652923,37.65172161517638
14340.0,1132000000,147,서울특별시,도봉구,1.0,학교,자운고등학교,1132010700100010000014458,1132010700.0,1132051400,서울특별시 도봉구 노해로69길 150(창동),13369,5141,이정호 계장,,127.05067,37.65909,204471.2315,562162.69062,긴급,POINT (127.04854403918439 37.658453639091434),127.04854403918439,37.658453639091434
14447.0,1132000000,148,서울특별시,도봉구,1.0,학교,서울가인초등학교,1132010700102240020014065,1132010700.0,1132051500,서울특별시 도봉구 도봉로136다길 4(창동),9751,3750,,,127.04354,37.6601,203841.40823,562274.17236,안전,POINT (127.04140656799112 37.65946207489936),127.04140656799112,37.65946207489936
14371.0,1132000000,151,서울특별시,도봉구,1.0,학교,서울오봉초등학교,1132010800106080022013001,1132010800.0,1132052100,서울특별시 도봉구 시루봉로 285(도봉동),7673,2951,정대영 실장,,127.04036,37.67166,203560.5069,563557.70156,긴급,POINT (127.03822981276222 37.67102630181064),127.03822981276222,37.67102630181064
14399.0,1132000000,164,서울특별시,도봉구,7.0,기타시설,인터넷모텔,1132010500101030185005690,1132010500.0,1132068000,서울특별시 도봉구 우이천로24길 65(쌍문동),425,40,강상영,02-999-8719,125.0,32.0,10996.7607,-63897.0842,안전,POINT (127.0299818200504 37.645613398643036),127.0299818200504,37.645613398643036
14374.0,1132000000,167,서울특별시,도봉구,7.0,기타시설,럭스모텔,1132010800106200030012731,1132010800.0,1132052100,서울특별시 도봉구 도봉로 739(도봉동),400,10,,,127.04371,37.671,203856.58658,563483.71832,긴급,POINT (127.04158510790906 37.6703590115392),127.04158510790906,37.6703590115392
14375.0,1135000000,346,서울특별시,노원구,1.0,학교,녹천초등학교,1135010200103220002018723,1135010200.0,1135058000,서울특별시 노원구 마들로3길 34(월계동),1431,550,박주연,010-2044-3565,127.06325,37.62893,205582.95855,558815.84758,안전,POINT (127.06111730668378 37.628294244718155),127.06111730668378,37.628294244718155
9610.0,1144000000,195,서울특별시,마포구,14.0,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",마포구민체육센터,1144012300104500003025169,1144012300.0,1144070000,서울특별시 마포구 월드컵로25길 190(망원동),1490,500,김소정,,126.89664,37.55639,190866.86841,550767.29436,긴급,POINT (126.89450937756142 37.55574816627663),126.89450937756142,37.55574816627663
14338.0,1132000000,143,서울특별시,도봉구,1.0,학교,창동고등학교,1132010700106940010018450,1132010700.0,1132051100,서울특별시 도봉구 노해로62길 7(창동),1494,574,임철영,,127.0388,37.65096,203424.3482,561260.11119,긴급,POINT (127.03667239522802 37.650325873804846),127.03667239522802,37.650325873804846
14378.0,1135000000,356,서울특별시,노원구,1.0,학교,신창중학교,1135010200108050005018989,1135010200.0,1135057000,서울특별시 노원구 월계로45길 92(월계동),625,240,김상덕,010-5601-2267,127.04753,37.62803,204195.61845,558715.25585,안전,POINT (127.04540043197353 37.627395320045366),127.04540043197353,37.627395320045366
14379.0,1135000000,490,서울특별시,노원구,1.0,학교,월계중학교,1135010200106020001018947,1135010200.0,1135057000,서울특별시 노원구 월계로45가길 54(월계동),1430,550,정대영,010-8297-2638,127.05213,37.6302,204601.71471,558956.50186,안전,POINT (127.0500022316063 37.62956691620894),127.0500022316063,37.62956691620894
14377.0,1135000000,358,서울특별시,노원구,1.0,학교,녹천중학교,1135010200103210007017418,1135010200.0,1135058000,서울특별시 노원구 월계로 376(월계동),1117,429,조규웅,010-3230-4922,127.06221,37.63152,205491.46449,559103.05958,안전,POINT (127.06008291817115 37.63088251698232),127.06008291817115,37.63088251698232
14380.0,1135000000,307,서울특별시,노원구,1.0,학교,용원초등학교,1135010300107090000013674,1135010300.0,1135059500,서울특별시 노원구 섬밭로 144(공릉동),1227,471,박대요,010-4598-2999,127.06897,37.62991,206087.93696,558925.34377,안전,POINT (127.06683881579342 37.62927752907168),127.06683881579342,37.62927752907168
14381.0,1135000000,328,서울특별시,노원구,1.0,학교,공릉중학교,1135010300102500000014399,1135010300.0,1135060000,서울특별시 노원구 노원로1길 42(공릉동),2395,921,정종식,010-6360-0800,127.08358,37.62217,207378.08409,558066.87507,안전,POINT (127.08144552066672 37.62153347692475),127.08144552066672,37.62153347692475
14376.0,1135000000,357,서울특별시,노원구,1.0,학교,신계초등학교,1135010200106020000018938,1135010200.0,1135057000,서울특별시 노원구 초안산로 29(월계동),498,191,최주현,010-9161-7717,127.05297,37.63043,204676.08605,558981.92127,안전,POINT (127.05084501251646 37.629795571535546),127.05084501251646,37.629795571535546
14385.0,1135000000,316,서울특별시,노원구,1.0,학교,상계중학교,1135010500101950005007222,1135010500.0,1135064000,서울특별시 노원구 노원로 398(상계동),672,258,최종만,010-2464-1382,127.06858,37.6527,206051.82291,561454.21834,안전,POINT (127.06645057119167 37.65206257058412),127.06645057119167,37.65206257058412
14382.0,1135000000,347,서울특별시,노원구,1.0,학교,중평초등학교,1135010400102710000012733,1135010400.0,1135061200,서울특별시 노원구 섬밭로 241(하계동),903,347,조은아,010-2668-2068,127.06376,37.63752,205627.48977,559769.37175,안전,POINT (127.0616290981963 37.636885048093156),127.0616290981963,37.636885048093156
14384.0,1135000000,354,서울특별시,노원구,1.0,학교,불암중학교,1135010400102880003013601,1135010400.0,1135061100,서울특별시 노원구 한글비석로5길 45(하계동),877,337,박영균,010-9018-8281,127.07376,37.64602,206509.56841,560713.1229,안전,POINT (127.07163117808027 37.64538225883746),127.07163117808027,37.64538225883746
14383.0,1135000000,359,서울특별시,노원구,1.0,학교,중평중학교,1135010400102710002012744,1135010400.0,1135061200,서울특별시 노원구 동일로203길 87(하계동),660,253,정미순,010-6734-3578,127.06235,37.63701,205503.2534,559712.13634,안전,POINT (127.06022106915594 37.6363701668101),127.06022106915594,37.6363701668101
14388.0,1135000000,336,서울특별시,노원구,1.0,학교,계상초등학교,1135010500104470001001388,1135010500.0,1135067000,서울특별시 노원구 한글비석로41가길 24(상계동),922,354,김연희,010-6232-7075,127.06807,37.66308,206006.26369,562606.76953,안전,POINT (127.06594376648324 37.66244713100657),127.06594376648324,37.66244713100657
14389.0,1135000000,349,서울특별시,노원구,1.0,학교,노원중학교,1135010500107430000001195,1135010500.0,1135069500,서울특별시 노원구 동일로213길 26(상계동),658,253,양기권,010-9474-1045,127.0593,37.64913,205233.56041,561057.79821,안전,POINT (127.05717522885875 37.64849592117416),127.05717522885875,37.64849592117416
14390.0,1135000000,363,서울특별시,노원구,1.0,학교,신상계초등학교,1135010500100860001004115,1135010500.0,1135066500,서울특별시 노원구 상계로 267(상계동),887,341,김진영,010-6776-6061,127.07577,37.66802,206685.31945,563154.98397,안전,POINT (127.0736449485781 37.667381701558185),127.0736449485781,37.667381701558185
14387.0,1135000000,324,서울특별시,노원구,1.0,학교,상곡초등학교,1135010500106780000000239,1135010500.0,1135072000,서울특별시 노원구 노원로38길 34(상계동),914,351,위창열,010-6695-9050,127.06228,37.66273,205495.29128,562567.25592,안전,POINT (127.06015236333639 37.66209435334827),127.06015236333639,37.66209435334827
14394.0,1135000000,365,서울특별시,노원구,1.0,학교,상천초등학교,1135010500107680000000997,1135010500.0,1135069500,서울특별시 노원구 덕릉로 443(상계동),2003,770,문정희,010-2389-1839,127.05839,37.64639,205153.2928,560753.68664,안전,POINT (127.05626350956024 37.64575639506173),127.05626350956024,37.64575639506173
14395.0,1135000000,475,서울특별시,노원구,1.0,학교,동일초등학교,1135010500106550000000652,1135010500.0,1135070000,서울특별시 노원구 한글비석로 566(상계동),600,230,오창호,02-3391-3635,127.05426,37.6648,204787.25361,562796.6422,안전,POINT (127.05212929536056 37.66416498697093),127.05212929536056,37.66416498697093
14396.0,1135000000,313,서울특별시,노원구,1.0,학교,용동초등학교,1135010600105100001010496,1135010600.0,1135062500,서울특별시 노원구 한글비석로1길 81-11 (중계동),504,193,이현주,010-2359-7157,127.0691,37.64112,206098.39256,560168.68996,안전,POINT (127.06696757102735 37.640479854728376),127.06696757102735,37.640479854728376
14397.0,1135000000,332,서울특별시,노원구,1.0,학교,중원초등학교,1135010600105020000010526,1135010600.0,1135062500,서울특별시 노원구 섬밭로 316(중계동),1366,525,신주철,010-3111-3790,127.06253,37.64388,205518.29215,560474.40397,안전,POINT (127.06039722165512 37.64323791878115),127.06039722165512,37.64323791878115
14393.0,1135000000,366,서울특별시,노원구,1.0,학교,온곡초등학교,1135010500106380000000459,1135010500.0,1135071000,서울특별시 노원구 한글비석로52길 59(상계동),770,296,최수진,010-6629-1961,127.0656,37.66764,205787.32671,563111.90648,안전,POINT (127.06346651670721 37.666999748845),127.06346651670721,37.666999748845
14391.0,1135000000,362,서울특별시,노원구,1.0,학교,노일초등학교,1135010500110440002008647,1135010500.0,1135063000,서울특별시 노원구 동일로 1625(상계동),1573,605,최윤수,010-9677-9947,127.05461,37.67269,204818.09998,563672.14246,안전,POINT (127.05248472337038 37.67205290543632),127.05248472337038,37.67205290543632
14392.0,1135000000,364,서울특별시,노원구,1.0,학교,상수초등학교,1135010500107550000000856,1135010500.0,1135069500,서울특별시 노원구 동일로216길 66(상계동),570,219,이진우,010-7942-7650,127.06441,37.65184,205684.08881,561359.00903,긴급,POINT (127.0622815875213 37.651204121542),127.0622815875213,37.651204121542
14462.0,1135000000,489,서울특별시,노원구,1.0,학교,원광초등학교,1135010600103590000010763,1135010600.0,1135062100,서울특별시 노원구 덕릉로76길 18(중계동),1223,470,신수미,02-951-3359,127.07451,37.65391,206574.75484,561588.51669,안전,POINT (127.07237760871146 37.65326899569758),127.07237760871146,37.65326899569758
14461.0,1135000000,361,서울특별시,노원구,1.0,학교,청계초등학교,1135010600105130001020193,1135010600.0,1135062500,서울특별시 노원구 공릉로 431(중계동),1801,692,유창희,010-6212-1305,127.0659,37.64499,205815.83826,560598.17928,안전,POINT (127.06376963701722 37.644351321235135),127.06376963701722,37.644351321235135
14460.0,1135000000,360,서울특별시,노원구,1.0,학교,수암초등학교,1135010600100670000012420,1135010600.0,1135061900,서울특별시 노원구 중계로12길 9(중계동),844,324,김혜경,010-8639-8096,127.08168,37.64811,207207.83631,560945.18308,안전,POINT (127.07954553427238 37.647467867510976),127.07954553427238,37.647467867510976
14398.0,1135000000,348,서울특별시,노원구,1.0,학교,상계제일중학교,1135010600101320000009878,1135010600.0,1135062400,서울특별시 노원구 덕릉로86길 29-15 (중계동),396,152,이정헌,010-8703-1167,127.0778,37.66168,206864.67941,562451.37168,안전,POINT (127.07567125191672 37.66104099153764),127.07567125191672,37.66104099153764
1780.0,1121500000,401,서울특별시,광진구,3.0,경로당,자양4-4 경로당,1121510500100510047015420,1121510500.0,1121584700,서울특별시 광진구 뚝섬로30가길 18(자양동),429,165,이석근,02-466-4868,127.06531,37.53514,205772.07578,548406.32904,안전,POINT (127.06317775228095 37.53450402136285),127.06317775228095,37.53450402136285
14386.0,1135000000,321,서울특별시,노원구,1.0,학교,신상중학교,1135010500107540004020189,1135010500.0,1135069500,서울특별시 노원구 동일로216길 42(상계동),948,364,천지원,010-9890-2770,127.06388,37.65168,205636.74997,561341.00294,긴급,POINT (127.06173990294623 37.651045933167616),127.06173990294623,37.651045933167616
1774.0,1121500000,444,서울특별시,광진구,4.0,관공서,자양2동주민센터,1121510500106690002021969,1121510500.0,1121583000,서울특별시 광진구 자양로3가길 26(자양동),170,50,,,127.08454,37.52885,207472.2895,547709.83697,안전,POINT (127.08240711676446 37.52821643963629),127.08240711676446,37.52821643963629
1777.0,1121500000,399,서울특별시,광진구,3.0,경로당,유수지 경로당,1121510500105930004024943,1121510500.0,1121583000,서울특별시 광진구 뚝섬로48길 46(자양동),231,88,전숙녀,02-452-6200,127.0765,37.53016,206761.47418,547854.51692,안전,POINT (127.0743667921834 37.529525490062845),127.0743667921834,37.529525490062845
1778.0,1121500000,432,서울특별시,광진구,4.0,관공서,자양제4동 주민센터,1121510500100630001027394,1121510500.0,1121584700,서울특별시 광진구 뚝섬로26길 58(자양동),255,77,,,127.06634,37.53409,205863.54904,548289.52739,안전,POINT (127.06421172656262 37.533451076149454),127.06421172656262,37.533451076149454
1782.0,1121500000,407,서울특별시,광진구,1.0,학교,서울신자초등학교,1121510500105910000024941,1121510500.0,1121583000,서울특별시 광진구 뚝섬로46길 64(자양동),2061,792,변명희,02-450-5670,127.07559,37.53024,206681.00085,547862.80591,안전,POINT (127.0734564775863 37.52960076919364),127.0734564775863,37.52960076919364
1781.0,1121500000,409,서울특별시,광진구,1.0,학교,광진중학교,1121510500106930000014346,1121510500.0,1121583000,서울특별시 광진구 뚝섬로64길 45(자양동),2017,775,김출배,02-447-2750,127.08953,37.53226,207913.21465,548088.69986,안전,POINT (127.08739941592252 37.53162629409516),127.08739941592252,37.53162629409516
1786.0,1121500000,381,서울특별시,광진구,1.0,학교,광양고등학교,1121510500106740001013887,1121510500.0,1121583000,서울특별시 광진구 자양로3가길 31(자양동),2856,1098,김병혁,02-446-1435,127.08609,37.52935,207609.17164,547764.95886,안전,POINT (127.08395623938715 37.5287119526686),127.08395623938715,37.5287119526686
1787.0,1121500000,403,서울특별시,광진구,1.0,학교,신양중학교,1121510500100570008027080,1121510500.0,1121584700,서울특별시 광진구 자양강변길 73(자양동),1984,763,,02-461-1066,127.06332,37.53345,205596.67867,548218.4056,안전,POINT (127.06119181653672 37.532811942111906),127.06119181653672,37.532811942111906
1783.0,1121500000,408,서울특별시,광진구,1.0,학교,광양중학교,1121510500106740000025193,1121510500.0,1121583000,서울특별시 광진구 자양로3길 7(자양동),939,284,임병태,02-452-6921,127.08542,37.53039,207549.92975,547880.39201,안전,POINT (127.08328722644777 37.52975246433063),127.08328722644777,37.52975246433063
2297.0,1121500000,424,서울특별시,광진구,4.0,관공서,군자동 주민센터,1121510900100480015025866,1121510900.0,1121573000,서울특별시 광진구 면목로 13(군자동),424,128,,,127.07553,37.55511,206673.80709,550623.28545,안전,POINT (127.07340022004762 37.554472715996326),127.07340022004762,37.554472715996326
1788.0,1121500000,406,서울특별시,광진구,1.0,학교,자양중학교,1121510500105240010011854,1121510500.0,1121584000,서울특별시 광진구 뚝섬로41길 33(자양동),1140,438,,02-454-5919,127.07446,37.53559,206581.07909,548456.3453,안전,POINT (127.07233135696639 37.5349492852051),127.07233135696639,37.5349492852051
2760.0,1121500000,411,서울특별시,광진구,1.0,학교,서울구의초등학교,1121510700100030009025802,1121510700.0,1121571000,서울특별시 광진구 광나루로30길 49(화양동),1630,626,,,127.07955,37.54301,207029.91223,549280.36165,안전,POINT (127.07741740795329 37.54237029887551),127.07741740795329,37.54237029887551
2759.0,1121500000,410,서울특별시,광진구,1.0,학교,구의중학교,1121510700100030018025803,1121510700.0,1121571000,서울특별시 광진구 광나루로30길 80(화양동),7069,2718,,02-447-4110,127.07926,37.54275,207004.35146,549252.21239,안전,POINT (127.07712791917122 37.542116862184514),127.07712791917122,37.542116862184514
1789.0,1121500000,405,서울특별시,광진구,1.0,학교,자양고등학교,1121510500105160002024868,1121510500.0,1121584000,서울특별시 광진구 뚝섬로37길 28(자양동),975,295,양승구,02-2049-4273,127.07308,37.53606,206459.09182,548509.06648,안전,POINT (127.07095159778935 37.53542515458897),127.07095159778935,37.53542515458897
2758.0,1121500000,435,서울특별시,광진구,13.0,"연수,숙박",화양모텔,1121510500100070043015000,1121510500.0,1121584700,서울특별시 광진구 아차산로 234(자양동),240,80,,,127.06922,37.54009,206117.47419,548955.44195,안전,POINT (127.06709012373068 37.53944927577347),127.06709012373068,37.53944927577347
4679.0,1121500000,372,서울특별시,광진구,7.0,기타시설,중곡문화체육센터,1121510100101680008027531,1121510100.0,1121576000,서울특별시 광진구 능동로 433(중곡동),665,255,강진혁,02-3408-4900,127.08463,37.56777,207476.67968,552029.64082,안전,POINT (127.0825007729275 37.567137709157805),127.0825007729275,37.567137709157805
4680.0,1121500000,437,서울특별시,광진구,13.0,"연수,숙박",파인힐 모텔,1121510100106050001005156,1121510100.0,1121577000,서울특별시 광진구 용마산로 192(중곡동),120,40,,,127.08633,37.57068,207626.89411,552352.22781,안전,POINT (127.08420436827542 37.570042996633525),127.08420436827542,37.570042996633525
4677.0,1121500000,420,서울특별시,광진구,4.0,관공서,중곡제1동 주민센터,1121510100102590010022531,1121510100.0,1121574000,서울특별시 광진구 긴고랑로12길 49(중곡동),145,55,,,127.08014,37.5607,207081.04431,551243.48973,안전,POINT (127.07801489886256 37.56005765817469),127.07801489886256,37.56005765817469
4672.0,1121500000,349,서울특별시,광진구,1.0,학교,서울용곡초등학교,1121510100101760001003398,1121510100.0,1121577000,서울특별시 광진구 용마산로22길 82(중곡동),2637,1014,김우현,02-457-7225,127.08854,37.56684,207821.93484,551925.75188,안전,POINT (127.0864075812809 37.56619879960124),127.0864075812809,37.56619879960124
4675.0,1121500000,421,서울특별시,광진구,4.0,관공서,중곡제2동 주민센터,1121510100100470033000544,1121510100.0,1121575000,서울특별시 광진구 능동로 346(중곡동),170,65,,,127.08146,37.56022,207197.13749,551190.86011,안전,POINT (127.0793284049632 37.55958256468439),127.0793284049632,37.55958256468439
2761.0,1121500000,446,서울특별시,광진구,4.0,관공서,화양동주민센터,1121510700101220000017845,1121510700.0,1121571000,서울특별시 광진구 능동로17길 39(화양동),135,40,,,127.07132,37.5466,206302.72789,549678.20843,안전,POINT (127.069192526936 37.54596017818834),127.069192526936,37.54596017818834
4678.0,1121500000,428,서울특별시,광진구,4.0,관공서,중곡제4동 주민센터,1121510100100620024000001,1121510100.0,1121577000,서울특별시 광진구 긴고랑로 131(중곡동),198,60,,,127.08951,37.55912,207908.24911,551069.95913,안전,POINT (127.08737540814772 37.55848743356095),127.08737540814772,37.55848743356095
4657.0,1121500000,412,서울특별시,광진구,1.0,학교,서울광진초등학교,1121510300100600044007374,1121510300.0,1121586000,서울특별시 광진구 자양로40길 41(구의동),11848,4556,김영선,02-458-6855,127.09143,37.54756,208079.83747,549786.72353,안전,POINT (127.08930330050725 37.54692399261101),127.08930330050725,37.54692399261101
